
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set NLOAD_TIP and time  0.1000000E+01

        12  3.360755E-02 -1.482656E-01  1.730057E-01
        13  2.778313E-02 -1.437520E-01  1.799955E-01
        30  2.609173E-02 -1.398527E-01  1.790993E-01
       144  1.114519E-02 -2.785970E-01  2.215790E-01
       145  5.078143E-02 -1.347506E-01  2.259379E-01
       146  5.526171E-02 -1.752310E-01  2.239394E-01
       269  2.961782E-02 -1.406783E-01  1.764810E-01
       270  3.162538E-02 -1.413994E-01  1.747601E-01
       271  2.833468E-02 -1.408818E-01  1.781062E-01
       390  2.870103E-02 -1.389394E-01  1.763489E-01
       391  2.717787E-02 -1.381097E-01  1.778241E-01
       392  3.111738E-02 -1.405854E-01  1.746402E-01
      1191  1.686940E-02 -2.896525E-01  2.215615E-01
      1192  3.209790E-02 -2.918818E-01  2.235706E-01
      1193  4.367208E-02 -2.840550E-01  2.225682E-01
      1194  4.259984E-02 -2.739294E-01  2.232381E-01
      1195  2.882900E-02 -2.673477E-01  2.216527E-01
      1196  1.559872E-02 -2.697539E-01  2.225410E-01
      1197  1.207762E-02 -2.837996E-01  2.210657E-01
      1198  2.367403E-02 -2.917892E-01  2.225214E-01
      1199  3.877112E-02 -2.881738E-01  2.228314E-01
      1200  4.501122E-02 -2.780434E-01  2.229467E-01
      1201  3.640359E-02 -2.694100E-01  2.227787E-01
      1202  2.140723E-02 -2.670770E-01  2.220118E-01
      1203  1.207277E-02 -2.730322E-01  2.223620E-01
      1886  5.044002E-02 -1.925131E-01  2.215324E-01
      1887  3.660036E-02 -2.389443E-01  2.173101E-01
      1888  1.657002E-02 -2.419451E-01  2.167472E-01
      1889  1.000678E-02 -2.122369E-01  2.180297E-01
      1890  1.091527E-02 -1.889219E-01  2.131884E-01
      1891  1.148054E-02 -1.667264E-01  2.094923E-01
      1892  1.477740E-02 -1.473314E-01  2.065142E-01
      1893  1.883616E-02 -1.385469E-01  2.020296E-01
      1894  2.046490E-02 -1.346603E-01  1.978422E-01
      1895  2.108370E-02 -1.290415E-01  1.954633E-01
      1896  2.426499E-02 -1.271359E-01  1.922597E-01
      1897  2.765718E-02 -1.329624E-01  1.871822E-01
      1898  2.764141E-02 -1.402085E-01  1.825309E-01
      1899  5.250350E-02 -1.621156E-01  2.239824E-01
      1900  4.448246E-02 -2.187659E-01  2.192248E-01
      1901  2.570829E-02 -2.472049E-01  2.156470E-01
      1902  1.127227E-02 -2.261902E-01  2.183648E-01
      1903  1.048948E-02 -1.993326E-01  2.159018E-01
      1904  1.111272E-02 -1.775235E-01  2.111936E-01
      1905  1.262196E-02 -1.555658E-01  2.081154E-01
      1906  1.716029E-02 -1.415958E-01  2.044113E-01
      1907  1.995234E-02 -1.361654E-01  1.999063E-01
      1908  2.069903E-02 -1.316827E-01  1.965688E-01
      1909  2.250783E-02 -1.266001E-01  1.940888E-01
      1910  2.610027E-02 -1.287919E-01  1.899307E-01
      1911  2.806877E-02 -1.364929E-01  1.848929E-01
      1912  2.649927E-02 -1.407355E-01  1.806821E-01
      1913  5.626351E-02 -2.456754E-01  2.273317E-01
      1914  4.264060E-02 -3.021307E-01  2.296439E-01
      1915  2.150236E-02 -3.119480E-01  2.277342E-01
      1916  9.888238E-03 -2.715835E-01  2.171787E-01
      1917  1.378167E-02 -2.333220E-01  2.109085E-01
      1918  1.653735E-02 -2.074873E-01  2.086157E-01
      1919  1.812942E-02 -1.835134E-01  2.049595E-01
      1920  2.205787E-02 -1.646563E-01  2.004856E-01
      1921  2.501990E-02 -1.567625E-01  1.983021E-01
      1922  2.541986E-02 -1.505550E-01  1.960330E-01
      1923  2.691723E-02 -1.434771E-01  1.920751E-01
      1924  3.029139E-02 -1.422207E-01  1.876215E-01
      1925  3.040169E-02 -1.464804E-01  1.841714E-01
      1926  5.770369E-02 -2.089668E-01  2.254779E-01
      1927  5.056030E-02 -2.773366E-01  2.287819E-01
      1928  3.171824E-02 -3.143996E-01  2.298889E-01
      1929  1.358482E-02 -2.941864E-01  2.222512E-01
      1930  1.135879E-02 -2.493313E-01  2.129975E-01
      1931  1.548093E-02 -2.192198E-01  2.096941E-01
      1932  1.722294E-02 -1.948805E-01  2.069037E-01
      1933  1.981498E-02 -1.721978E-01  2.023914E-01
      1934  2.388682E-02 -1.596279E-01  1.991727E-01
      1935  2.525578E-02 -1.535082E-01  1.972486E-01
      1936  2.589005E-02 -1.463130E-01  1.940902E-01
      1937  2.870008E-02 -1.412305E-01  1.895962E-01
      1938  3.095417E-02 -1.438934E-01  1.858003E-01
      1939  2.878310E-02 -1.457373E-01  1.821247E-01
      1940  4.649761E-02 -1.359108E-01  2.247677E-01
      1941  4.219475E-02 -1.038333E-01  2.270220E-01
      1942  4.126485E-02 -8.950188E-02  2.263357E-01
      1943  4.434172E-02 -1.056199E-01  2.268382E-01
      1944  5.058811E-02 -1.526737E-01  2.238489E-01
      1945  4.388961E-02 -1.195638E-01  2.258684E-01
      1946  4.141909E-02 -9.102297E-02  2.269291E-01
      1947  4.253103E-02 -9.624321E-02  2.265373E-01
      1948  4.727866E-02 -1.172741E-01  2.268380E-01
      7441  4.660343E-02 -2.622923E-01  2.237163E-01
      7442  1.158017E-02 -2.630385E-01  2.214250E-01
      7443  1.232307E-02 -2.789160E-01  2.206555E-01
      7444  1.000630E-02 -2.541188E-01  2.184861E-01
      7445  5.551336E-02 -1.943397E-01  2.247472E-01
      7446  1.270063E-02 -2.048516E-01  2.111113E-01
      7447  1.060618E-02 -2.231239E-01  2.163169E-01
      7448  1.857437E-02 -1.585538E-01  2.034926E-01
      7449  2.762588E-02 -1.432082E-01  1.815564E-01
      7450  1.501206E-02 -1.769706E-01  2.075013E-01
      7451  4.924691E-02 -1.411809E-01  2.252976E-01
      7452  2.192156E-02 -1.485392E-01  1.996419E-01
      7453  5.040001E-02 -2.288921E-01  2.233112E-01
      7454  4.330929E-02 -1.156033E-01  2.259740E-01
      7455  4.079568E-02 -2.553707E-01  2.223837E-01
      7456  4.276722E-02 -2.835240E-01  2.246380E-01
      7457  2.297293E-02 -1.426326E-01  1.969776E-01
      7458  2.036561E-02 -2.570455E-01  2.193118E-01
      7459  2.378138E-02 -2.991179E-01  2.250794E-01
      7460  2.964313E-02 -1.400078E-01  1.855052E-01
      7461  2.421812E-02 -1.369827E-01  1.941495E-01
      7462  5.125326E-02 -2.549671E-01  2.253636E-01
      7463  3.167296E-02 -3.012109E-01  2.269105E-01
      7464  2.832237E-02 -2.552327E-01  2.186295E-01
      7465  1.076106E-02 -2.400083E-01  2.193406E-01
      7466  9.819527E-03 -2.698780E-01  2.187286E-01
      7467  2.740658E-02 -1.351624E-01  1.900263E-01
      7468  9.784708E-03 -2.431245E-01  2.144968E-01
      7469  1.438436E-02 -2.891093E-01  2.219892E-01
      7470  1.297037E-02 -2.477407E-01  2.202463E-01
      7471  2.922319E-02 -1.394386E-01  1.764011E-01
      7472  2.685891E-02 -1.409737E-01  1.795603E-01
      7473  2.755815E-02 -1.387143E-01  1.779060E-01
      7474  2.665704E-02 -1.412460E-01  1.802370E-01
      7475  2.753465E-02 -1.432364E-01  1.808571E-01
      7476  2.889280E-02 -1.445924E-01  1.829478E-01
      7477  2.755779E-02 -1.415449E-01  1.819495E-01
      7478  1.422937E-02 -2.843031E-01  2.210321E-01
      7479  1.169696E-02 -2.781134E-01  2.209233E-01
      7480  1.136763E-02 -2.704104E-01  2.217479E-01
      7481  1.307817E-02 -2.656888E-01  2.222160E-01
      7482  1.119344E-02 -2.702399E-01  2.209714E-01
      7483  5.353119E-02 -1.630394E-01  2.249127E-01
      7484  5.378102E-02 -1.921025E-01  2.234864E-01
      7485  4.581323E-02 -1.217360E-01  2.261866E-01
      7486  4.961671E-02 -1.367879E-01  2.257568E-01
      7487  5.332986E-02 -1.647501E-01  2.249594E-01
      7488  5.710246E-02 -2.184101E-01  2.258471E-01
      7489  5.634260E-02 -1.841425E-01  2.248362E-01
      7490  5.199027E-02 -1.566047E-01  2.245423E-01
      7491  4.719425E-02 -1.371386E-01  2.247626E-01
      7492  2.684744E-02 -2.953594E-01  2.249530E-01
      7493  2.148007E-02 -2.933143E-01  2.233708E-01
      7494  1.674117E-02 -2.893212E-01  2.219966E-01
      7495  1.350496E-02 -2.835591E-01  2.211767E-01
      7496  1.854717E-02 -2.949301E-01  2.235119E-01
      7497  4.242496E-02 -2.827632E-01  2.231379E-01
      7498  3.798618E-02 -2.889382E-01  2.239830E-01
      7499  3.751239E-02 -2.936023E-01  2.258437E-01
      7500  3.138658E-02 -2.954402E-01  2.251957E-01
      7501  2.796845E-02 -3.003817E-01  2.262654E-01
      7502  4.467589E-02 -2.676307E-01  2.234304E-01
      7503  4.516686E-02 -2.729473E-01  2.231011E-01
      7504  4.533612E-02 -2.727110E-01  2.238097E-01
      7505  3.547022E-02 -2.619977E-01  2.222042E-01
      7506  4.040584E-02 -2.635349E-01  2.233424E-01
      7507  4.447290E-02 -2.583259E-01  2.232395E-01
      7508  1.918831E-02 -2.616575E-01  2.208632E-01
      7509  2.361723E-02 -2.613579E-01  2.201174E-01
      7510  2.835993E-02 -2.607925E-01  2.201851E-01
      7511  3.449695E-02 -2.555262E-01  2.205431E-01
      7512  2.424345E-02 -2.566714E-01  2.187562E-01
      7513  1.238930E-02 -2.547656E-01  2.209189E-01
      7514  1.506399E-02 -2.588069E-01  2.214079E-01
      7515  1.594113E-02 -2.528978E-01  2.200584E-01
      7516  5.088338E-02 -2.099054E-01  2.221661E-01
      7517  4.435545E-02 -2.344247E-01  2.207742E-01
      7518  5.377723E-02 -2.121434E-01  2.242604E-01
      7519  3.267808E-02 -2.476869E-01  2.178654E-01
      7520  2.151131E-02 -2.499402E-01  2.170712E-01
      7521  4.600735E-02 -2.435111E-01  2.226714E-01
      7522  3.832460E-02 -2.458007E-01  2.198917E-01
      7523  1.438426E-02 -2.436589E-01  2.186419E-01
      7524  1.067339E-02 -2.291349E-01  2.191191E-01
      7525  1.832303E-02 -2.492231E-01  2.178465E-01
      7526  1.060524E-02 -2.177189E-01  2.176032E-01
      7527  1.112783E-02 -2.049068E-01  2.150287E-01
      7528  1.036720E-02 -2.256192E-01  2.187708E-01
      7529  1.050090E-02 -2.310841E-01  2.179023E-01
      7530  1.149438E-02 -2.435857E-01  2.200699E-01
      7531  1.184872E-02 -1.971475E-01  2.125160E-01
      7532  1.237899E-02 -1.852887E-01  2.104951E-01
      7533  1.146103E-02 -2.138367E-01  2.135294E-01
      7534  1.322613E-02 -1.715348E-01  2.086545E-01
      7535  1.484736E-02 -1.613623E-01  2.071381E-01
      7536  1.383339E-02 -1.901070E-01  2.093246E-01
